category,top_keys
政治,"[('記者', 159), ('台北', 104), ('立委', 95), ('國民黨', 89), ('台灣', 59), ('民進黨', 52), ('中國', 49), ('台中', 36), ('民眾', 33), ('新聞', 27)]"
國際,"[('新聞', 119), ('美國', 116), ('核稿', 108), ('即時', 107), ('中國', 62), ('總統', 44), ('緬甸', 44), ('川普', 42), ('編輯', 30), ('日本', 28)]"
社會,"[('記者', 170), ('警方', 72), ('男子', 64), ('台中', 51), ('台北', 45), ('民眾', 33), ('台中市', 29), ('人員', 28), ('桃園', 26), ('地院', 23)]"
生活,"[('記者', 175), ('台南', 55), ('台中', 36), ('台北', 35), ('活動', 34), ('民眾', 31), ('交通', 29), ('台灣', 28), ('高雄', 26), ('中心', 25)]"
地方,"[('記者', 187), ('台北', 49), ('台中', 47), ('高雄', 41), ('立委', 39), ('民眾', 32), ('民進黨', 31), ('桃園', 30), ('活動', 28), ('市長', 27)]"
全部,"[('記者', 693), ('台北', 237), ('台中', 170), ('新聞', 162), ('美國', 159), ('核稿', 143), ('即時', 142), ('立委', 141), ('民眾', 139), ('台灣', 137)]"
